VideoID,Comment
UtdTxpcTPBk,Vasthvundu ma anna Box office ni mingadaniki..😮❤
UtdTxpcTPBk,Tickets release eppudu bro
UtdTxpcTPBk,JAI NTR ❤🎉
UtdTxpcTPBk,❤❤❤❤NTR ANNAYA
UtdTxpcTPBk,Jai ntr
UtdTxpcTPBk,❤️❤️❤️❤️🙏🙏🙏❤️❤️❤️❤️
UtdTxpcTPBk,❤ DEVARA ❤
UtdTxpcTPBk,NTR fans 🔥🔥🔥
UtdTxpcTPBk,𝐉𝐚𝐢 𝐍.𝐓.𝐑
UtdTxpcTPBk,"Very disappointing, Marla pedithe baagunnu"
UtdTxpcTPBk,Tollywood king ntr annaya❤❤❤❤
UtdTxpcTPBk,I'm watching for devara
UtdTxpcTPBk,Joke😂2024evar🎉
UtdTxpcTPBk,@@ManiUdumula pora puuu
UtdTxpcTPBk,NTR🎉🎉❤👌👌⭐👍🐯💥
UtdTxpcTPBk,Jai ntr anna
UtdTxpcTPBk,N T R ❤
UtdTxpcTPBk,Jai NTR❤
UtdTxpcTPBk,"ఆ ఈవెంట్ కెపాసిటీ 5000 🤧
లోపలికి వెళ్ళిన అభిమానం 25000 వేలకు పైగా ఉన్నారు, ఇంకా బయట చాలా మంది ఉన్నారంట , అభిమానం కంట్రోల్ చేయలేక పోలీసులు చేతులెత్తేశారు 🙁"
UtdTxpcTPBk,అంతె bro inkem ledu public control cheyaleka cancle chesaru అది అందరికి తెలిసిందే దానికి మనోడు 10 నిమిషాల వీడియో చేసాడు... ..
UtdTxpcTPBk,3rd view
UtdTxpcTPBk,JAI NTR💥💥💥
UtdTxpcTPBk,Jai ntr❤❤❤
UtdTxpcTPBk,Jai NTR
UtdTxpcTPBk,First view and first comment 😁
RQ3zL56lNiI,Manipur sangatana jariginappudu ekadunav Pawan Kalyan gaaru
RQ3zL56lNiI,Prakesh raj gadiki kcpd cm garu🎉
RQ3zL56lNiI,"Ban Prakash raj movies...that is the only way.
He used to be paid for watching his movies by Hindus but he spends his money to spoil Hinduism."
RQ3zL56lNiI,Manipur ghatanalo meeru enduku ee vidham ga spandinchaledu
RQ3zL56lNiI,Pawan kalyan is really lord krishna 🙏🙏🙏
